"from","to","condutance"
1,2,2.52557557375429
1,4,9.80944031988825
1,156,1.5853610794982
1,335,12.1286943297557
2,102,3.03854770639666
3,98,1.61028787141502
3,109,2.71633856231844
3,245,2.55573110371213
3,246,2.76316994678761
4,22,19.8882350242538
5,6,2.33116095633437
5,11,2.19969633586559
6,15,3.56815241713309
6,717,10.3742816083771
7,8,8.75911210177631
7,215,1.75493462311151
8,10,1.04854090579515
9,10,2.2623021858297
9,197,1.00266151105837
11,216,1.06048868715932
12,13,1.41591072999032
12,216,1.78960846004942
13,214,1.24798005472302
14,15,0.604329481441351
14,30,4.66105489563374
14,648,2.03946182729377
15,230,0.787279814771863
16,17,0.808555545703985
16,52,2.16685047336077
16,56,2.02967120082125
16,57,57.2787208742228
16,167,1.55363976845995
16,718,3.70689507533173
17,114,1.6124622402802
17,196,0.791504285804587
18,19,7.99224973525337
18,167,2.69998335816391
18,274,1.81614281405863
18,818,2.56429911621239
19,253,7.63585718033666
20,21,76.1125880931359
21,62,2.09347928844282
21,73,3.27057333883019
21,154,6.401976160429
21,157,4.22389062794951
21,403,8.77891961818091
23,96,10.3693501856367
23,122,2.60710863113109
23,128,2.86999687738194
23,183,1.94348443768959
23,213,248.095910642945
23,239,21.3320074389238
24,25,19.4259749666209
24,61,8.07323892246434
25,108,24.4604261614522
26,27,36.1666447467632
27,106,5.39713282257329
27,261,11.9335066797358
28,597,46.4199665562292
28,604,6.41658771244451
28,614,8.72615901108989
29,30,4.42009752216956
29,124,0.673399726412983
30,841,2.15262850473592
31,32,8.11645714781309
31,34,29.2818883001349
32,45,25.3949102503246
32,218,2.11366967745728
32,237,2.18196556152319
32,543,12.8285635746009
33,34,4.51172808874738
33,40,5.50572354640959
33,554,3.46886146832525
33,563,16.4656387803533
33,597,11.0019854241579
33,646,6.00663165682024
35,36,3.35146293228118
35,41,3.93884396374423
35,509,1.15213830734369
36,37,13.4166104556427
37,225,13.0227004640895
37,798,1.08518792471771
38,39,48.590309854877
38,225,7.94562449822399
39,40,14.4450484291137
40,548,9.60790704380385
40,610,3.93785836848271
41,42,5.64552334490247
41,94,3.17081688625386
41,848,0.89395912106811
42,43,17.0279739218758
43,44,11.1683921324682
44,45,26.6388323264041
46,47,13.692805630363
46,61,39.3939845243952
47,48,19.7320225374774
48,49,39.2684625216476
49,217,6.30378782885709
50,51,12.1694053200646
50,63,4.58315565548167
50,82,1.34608138540392
51,108,2.5939771421643
52,120,33.8860990423155
52,308,5.40729177336935
52,352,6.54405521222097
53,54,0.431414738468353
54,58,1.39864673854986
54,713,0.539316042794803
55,56,1.21472807229708
55,197,0.445937782261577
55,408,18.3056526703478
56,152,0.998306317331708
56,255,11.3059645818471
56,446,0.424985012547067
56,662,0.866847434723667
56,663,0.725172250141108
56,681,0.976980675403813
56,751,0.588054250686418
56,826,1.83592364356767
57,58,0.423722947139212
57,93,3.22736421429637
57,113,1.10806353549829
57,198,1.66614168067287
57,448,1.76254858621234
57,718,9.12649453896415
59,60,0.279149357439662
59,121,2.41716465718696
59,827,2.45547273201328
60,141,0.625434890670111
61,833,10.6826434363962
62,72,15.4802872340559
62,186,10.3878622192342
63,82,1.37426586403084
64,65,23.7744009512673
65,66,2.2255109095812
66,67,24.5790246189858
66,68,5.30677578288623
68,69,10.6257520574741
68,82,4.1320436829554
69,81,3.62085193993842
70,71,5.10972225679851
70,73,48.1261931439697
71,72,79.2867335725581
72,75,37.6696255474552
73,76,1.15922525874129
74,75,5.00969010855698
74,265,87.8524948338547
75,219,1.56888978874812
76,77,24.6797100131259
76,193,2.88553784757864
77,78,33.1000701645907
77,80,5.43498675532163
79,80,5.26740409250314
79,81,6.27028029122095
79,185,2.15479655398794
82,186,5.50068438777479
82,217,2.78948126326319
83,84,6.48627063800705
83,130,2.88853887704392
83,163,17.8045850594804
83,199,6.54805264058219
83,229,2.13706884744576
84,169,14.6381564234318
84,174,0.731226100332499
84,207,2.09802641562259
85,86,1.87804874329704
85,87,0.407640553136748
86,177,3.48132889468589
86,353,2.81505567739001
87,88,1.35051658930756
87,164,0.391378411072841
87,175,2.8822586959607
87,222,3.93554810556038
87,268,0.316877250158242
87,272,1.45628348601572
88,243,5.03293899281223
89,90,0.874290906174617
89,147,0.320961008492634
89,175,6.30020959102271
89,566,7.8142875036865
90,175,0.530501485281771
90,224,0.922418785003972
90,289,1.23636966772119
90,447,1.86620734231469
91,92,0.304175918588528
91,113,1.35215133074283
92,93,1.5799708430429
92,173,2.20684618298076
92,276,0.407235341688852
94,95,2.66698184203705
94,769,29.1839253665728
94,800,18.5081156745888
95,258,14.9493977382273
96,97,6.76942720573196
96,103,2.57110473978014
97,107,5.71481246201126
97,129,2.84369257099148
97,257,38.8990284203229
98,99,0.963779482587605
98,109,2.78142419153913
98,221,5.16744779039678
98,377,1.13190204995573
98,462,1.08721430991462
98,463,0.539378180110456
98,806,1.84258030606395
99,262,3.31178009861803
100,101,2.68628082604232
100,110,5.8175906428806
101,118,1.72132185108593
101,159,0.793323738238578
101,246,1.59771443453854
102,155,4.10094945665533
103,122,6.2244473065556
103,237,8.84081167340832
104,105,4.31972192956392
104,239,39.6611936525445
105,232,16.257006172236
106,181,35.7756602610324
106,691,9.66504323515783
109,390,14.2355581322792
109,462,0.815107933677763
109,463,4.77842646296236
110,244,6.09088714053965
111,112,1.64327827170409
111,221,2.59721779119047
112,223,5.3642211625313
112,708,2.24648862501826
112,824,1.30575597458227
114,115,0.645700949299706
115,116,1.765523405793
115,807,7.93757041578491
116,117,0.910661747148893
117,152,2.29753657125636
118,119,1.89577998519021
119,159,3.23120880711084
122,123,2.22763143901501
122,232,30.1164377155358
123,124,0.490649419116998
123,125,3.07472847677347
123,259,0.677026184392734
123,261,31.5811181254742
125,258,104.359641881035
126,127,2.50939598051671
126,260,6.32342696932347
127,128,4.59879528153928
128,132,6.4285359652795
128,172,0.752442127373973
129,130,20.178423381792
129,131,4.89973811305908
129,415,2.80507205778832
129,474,2.04898759301452
129,480,8.18573383329088
129,486,9.02781742911795
129,805,6.50320475430858
130,183,21.4586615768436
131,191,3.42222420450282
131,200,6.13767553709003
131,219,2.07082354593445
131,235,5.21872516010508
131,459,3.13219019641411
132,238,0.82738947921183
132,804,0.490354269735589
133,134,5.02194279886556
133,155,1.6389324544921
133,179,1.68524539750201
133,184,1.82617218390634
133,194,3.15210230211654
133,325,19.2795134029901
133,367,1.74991950147037
133,476,2.79336113219017
134,855,1.13818755449076
135,136,5.23158054022462
135,153,8.67042047320468
136,156,4.65026304523323
136,251,2.04354715823753
137,138,0.644162285024449
137,222,1.84697200488141
137,267,0.677561040577126
138,243,1.90535399351551
138,273,13.4170446763216
139,140,4.93764674757634
140,143,0.298383142993843
141,142,1.90260094373973
141,143,0.252655357667335
141,450,0.398730732878171
142,252,1.32949232964254
143,150,0.239577839948817
144,145,0.26038440020185
144,150,0.362647220166083
144,569,0.844395721264951
145,149,0.330784585159322
145,151,0.61802703286399
146,147,0.596849221702373
146,148,0.657055695850924
146,394,0.742281604248903
148,149,0.518346638052049
150,151,0.315629069270602
153,154,5.93279150051297
155,156,2.38914490033069
155,158,56.094832423846
155,750,4.24856899603965
156,157,3.94976140201994
159,160,2.40007285874841
159,167,1.31303141571474
160,161,3.44327664711198
160,737,1.58240348160455
160,776,0.935874752821257
160,814,0.757875609531022
161,167,11.2782676675897
161,738,1.64688716888156
162,163,6.97691045336309
162,169,20.7028844719801
164,168,1.04135599022212
164,822,1.60580573498971
165,166,0.74555634270122
165,269,1.84686032850316
165,271,1.59955955794166
165,519,1.01695745994455
166,178,12.7266390546834
166,846,5.59664281224937
167,176,3.12630368974235
168,175,1.07538131020762
168,361,3.47746390630853
169,228,2.06717410146524
170,171,6.78744121577238
170,207,6.1779217234893
170,208,7.24593610809278
170,210,5.35721162099227
170,542,5.25492800926749
171,856,27.4453490125935
172,238,29.7217040137031
173,174,1.40527158959671
174,201,26.8114879698505
174,236,2.61606264625491
174,759,1.71526057023257
175,224,1.18104251949234
175,364,2.10240531061902
175,428,16.2761263014927
176,198,2.72323386199082
176,280,0.494451049346239
176,729,0.674975584834099
176,832,2.05135472667406
177,178,0.502383594472596
177,515,3.37301464733056
179,180,6.57206222219664
179,743,5.2117922022842
180,187,20.068126265335
180,265,19.6179939391799
180,749,8.24218550749334
181,182,3.35297551159679
182,692,0.761997255261306
182,810,1.56137555977776
185,191,1.26513124184184
185,520,2.25494195038546
187,188,1.71026139879807
188,190,16.5567625363094
189,190,4.82353341502031
189,195,9.20640672435693
189,498,3.63501577937619
189,723,9.15720921015502
189,787,8.89625449677371
190,193,1.4973428163648
190,203,30.2620036380662
190,204,4.08407772538798
190,254,8.86277932631532
190,492,0.56246350468348
190,535,1.77618599639404
190,539,1.26784587008568
190,541,3.60697723003483
190,688,2.86687290836638
191,192,2.75876801082677
191,234,2.20942633041365
191,266,16.6203694890272
191,473,1.90906379754253
191,773,0.519728172152527
192,248,1.70564184080798
192,492,2.34928347409234
192,532,0.811306674009919
192,720,0.833517170783721
194,195,2.76266753461682
194,249,3.24255391416586
194,392,1.73304595057454
194,395,4.92656974702557
194,409,8.46705453380286
194,679,11.1311528850156
195,254,13.5116151698574
196,226,1.3565077351601
196,309,15.3018756113318
197,348,13.7608388614924
199,211,13.5397309358371
200,205,21.7868586834755
201,202,1.73156588744869
201,524,1.20166132980978
202,229,1.89445316559108
202,285,1.54491797807244
202,439,1.09002544939483
203,204,2.24338386887818
204,220,3.21559719824083
204,247,32.2753698049256
204,527,2.5475890775241
204,624,9.3820663829191
204,671,2.53989966463972
205,206,15.6668797726194
206,415,0.630053505729864
207,212,30.6798605332178
207,233,22.1219916628526
208,209,7.16490552530345
211,212,9.64082233292272
214,215,3.20995256339451
215,766,1.1493034794793
217,218,2.44653458541625
217,256,43.1803924403032
217,767,26.4290759742448
219,494,5.02059075921262
219,539,0.238190057980623
219,721,3.00565255681046
220,533,2.41202214395667
220,534,3.75763653152302
221,772,4.72369438435364
222,223,1.91667406762145
222,240,19.3671372980021
222,813,1.73182071613667
227,228,23.4507574250277
227,323,1.43369898481898
227,359,1.66678308586182
227,360,1.67338117028155
228,236,1.8409630848589
229,293,0.656090553946467
229,641,1.92408603590911
230,231,2.21408043101056
231,259,0.611596054818688
233,234,54.2574852938278
233,235,83.4036677711661
236,288,2.92487914951256
236,369,0.782958384413486
241,242,1.47957625333095
241,243,4.33223619409851
244,340,6.8736144866988
244,784,0.547480267194817
247,856,47.8128707050246
249,250,34.0180094451415
250,251,5.16793643902989
257,845,1.59169417446717
263,264,3.61378163784961
263,442,2.47306571916738
267,270,0.682233692790884
267,731,0.707301367093325
267,781,2.45920081371595
268,269,11.8630392679662
270,271,2.74628023761917
272,273,14.1776910470892
274,275,1.05437930278296
275,814,2.76191747343967
276,277,2.44296480624544
277,765,1.64562415974691
278,279,2.20041197541099
278,344,0.884427833747385
278,490,0.974461477287275
278,777,4.32157928939403
280,281,0.891511362401375
281,282,1.05703196783798
282,283,2.13756366217874
283,284,0.337432277248385
284,524,0.378822951750229
284,583,1.33452579094798
285,286,6.67841982242447
286,581,8.80859734849255
287,288,2.65123905619783
287,582,12.3300906350724
288,298,1.57094077985979
289,616,1.58942401995474
290,357,7.99999933466988
290,358,9.74837385649194
291,292,19.1436651813879
291,416,2.96373237384457
292,354,2.68615339466141
292,393,2.50548134765261
293,578,1.07128383540275
294,453,1.50376278689081
294,455,3.57249076607602
294,466,8.75891018257461
295,296,1.18575755679413
295,780,6.16399668110938
296,477,1.4740927883224
297,472,4.58434187866195
297,474,1.18013364632773
298,299,1.8298813024568
298,300,3.15313686518402
299,605,1.15446533709451
300,641,0.727084672792186
301,302,6.15406499825355
302,335,0.415405263858896
302,403,1.27999234554598
302,441,0.435410311168557
303,304,9.16275330724225
303,411,2.63923868474749
303,412,1.19703255986779
304,305,5.12127480345944
305,306,8.12223291586697
306,307,11.6457432602415
307,308,6.25304560649906
308,352,15.4146350130885
309,412,5.13331320635098
309,507,0.728897849174508
310,311,16.2593175067502
310,449,21.0667588825664
311,312,15.5161053345916
312,313,7.30312876036654
313,314,14.1396084986339
314,421,20.0511921419645
315,368,2.00991322808271
315,642,12.7741068277755
316,756,2.0221999513941
316,757,10.3385823340562
317,318,19.1911103297998
317,347,5.36408027628535
318,319,9.26330830690422
319,320,3.35779739559762
321,322,1.77165901813524
321,617,2.2227958596854
321,619,15.9125177569782
322,345,0.488325900595285
323,480,1.89701405618656
324,358,2.92320010039622
324,392,2.23029464652371
325,343,23.9040098983234
326,327,11.2134199668174
326,331,13.1668020860923
327,342,4.10821107202516
328,329,13.4146536969193
328,343,13.424430110731
329,330,22.7729951547935
330,331,5.7280551315159
332,333,1.62256525152151
332,344,4.28693003693345
333,409,2.3812947262469
334,358,14.7725259232378
334,410,13.631324327367
335,336,2.61724999247954
335,436,0.941956384855908
335,441,8.59759105649117
336,379,3.61640803144142
336,768,7.94487257936759
337,338,15.7923924062846
337,339,1.60317887251818
338,391,0.601256501957741
338,756,10.0002422278632
339,341,13.048889018212
340,341,6.66397404617119
342,782,2.16738782037707
345,368,2.31129180801374
346,347,18.5055280644419
346,348,1.37757419999924
349,350,12.7738830932891
349,395,3.82028123319134
350,351,4.12947728239111
352,507,1.6261437233896
353,513,5.19089146559715
355,356,17.1464186339851
355,766,17.6042985172643
356,790,6.00438620268112
357,485,1.04876239383386
362,363,10.585333804883
362,365,3.03218909605635
364,365,1.40786580195473
364,428,2.39977144477763
366,367,4.31800403343383
369,370,0.949129308188119
369,371,0.720818190883077
369,372,0.61820800987095
369,605,0.602902998503891
371,372,4.34280082998725
371,637,1.29499262036501
371,639,0.698503568515808
373,374,2.53533324085892
373,819,3.25760194402675
374,375,11.5075009750559
374,636,2.82885095473589
375,376,0.675424031771092
375,635,6.60332296962699
377,378,3.71978965172374
378,772,1.14656679171626
380,381,14.2511579250703
380,383,18.5868097231872
381,440,21.3613748784152
382,383,19.6068453248751
382,384,14.1389123592645
384,764,9.42808076682793
385,386,2.94120106597847
385,387,5.5228215509179
386,557,2.51243972065008
387,389,17.6750327746315
388,389,1.48761667672031
388,457,11.3921915732271
388,760,11.7549622230314
390,760,0.675100911226147
392,468,9.2250498808815
394,642,5.88334851270329
396,397,21.2238709321562
396,572,10.4596538202833
396,647,1.70869918312854
397,655,10.227536734942
398,399,4.08762354497299
398,626,16.017888014849
399,402,2.3946826154374
400,401,11.6991535795375
400,402,18.49284665748
401,601,1.98722436089508
403,680,0.574943374864204
404,405,21.9743280031598
404,785,19.8660581391692
405,430,24.1897006884307
406,407,17.145513429626
406,408,1.16054079663769
410,414,13.0123328040453
412,413,8.94769598187963
415,805,4.82367479643814
416,429,15.831102415085
417,418,4.46715745174387
417,419,16.8044528118707
417,420,8.4427469133515
420,774,8.63075537154448
420,775,5.58605383363725
421,422,21.2830843884921
422,423,10.3633885270962
423,424,11.5615252265294
424,425,9.1323894329726
425,426,15.9572043670239
426,427,13.1362201025169
427,801,11.5410075925246
429,485,7.68387782679601
430,431,27.246168948485
431,432,7.9523832933961
432,433,17.8851973073887
433,449,19.1138302391092
434,435,16.7149098546659
434,792,0.740922325965181
435,739,14.0020461054778
435,772,5.32839655052425
436,843,8.8283614200623
437,438,11.7708132376489
437,439,3.74808183142223
437,579,0.479878014552666
439,611,0.613236451256123
440,761,16.4509440967973
442,578,0.687490115871756
443,444,2.92394345094035
443,445,5.80115205475482
443,446,7.15753956969101
446,682,1.53840307081534
446,829,5.40429018721935
447,618,8.67011953032916
448,788,2.33578312417115
451,452,3.00193620604775
451,658,4.84363998996414
452,551,5.29644278886826
452,644,10.5645929940481
453,454,2.11528120233674
454,823,8.00027095245714
455,456,4.78600939238637
455,467,4.70828411165312
457,458,2.30517870305013
458,758,2.27756158262221
459,467,5.06910949707625
460,461,1.68178350258329
460,653,22.0487580172776
461,785,1.31486533777087
464,465,5.05126020605321
464,471,17.9190257789903
465,472,14.3047921459637
466,612,10.6013972962268
467,783,4.20338895975346
467,786,3.87246749972184
469,773,3.6930420093253
469,778,2.24423113038372
470,473,3.52445125283085
470,786,1.96698917223612
471,834,7.25694195088084
474,475,7.12681669276694
477,484,12.1059515335466
477,804,0.984044100601828
478,479,7.21683444594425
479,483,6.78476981774645
479,484,1.22704262572026
481,482,4.39008834273813
481,487,13.9802779054056
482,483,8.613684454395
485,746,1.18625823837077
485,782,0.722819668579359
486,487,6.15064595378467
488,489,5.36588618751983
489,539,0.632254347389873
489,744,0.554235591472581
490,539,3.54851927456969
491,511,10.9666370628809
491,535,20.5806391249589
492,493,13.4328733407229
493,735,15.1279267920434
494,495,12.3421107122986
496,497,6.88876288142217
496,586,3.43432595590393
497,527,1.16035675636884
497,528,3.88318918579992
497,585,8.60562644591917
497,686,1.51405848447096
498,499,15.1867571665396
499,500,19.8912975615547
499,687,13.7404731308349
500,536,4.28438706745053
501,502,1.73357320574044
501,688,2.02538281284772
502,584,2.02234870810369
503,504,19.0850604055196
503,534,1.80421141724579
503,596,2.89985538584722
505,506,14.6369963426915
505,510,2.98236241300749
505,556,6.95692137349592
506,558,4.02513037671153
506,666,4.42202343241841
508,509,4.25252481799197
508,510,1.93019735992063
509,552,6.90346311831283
511,512,10.3713495665879
512,540,6.50644483260797
512,736,15.620998342378
513,514,2.76796013555719
514,515,2.93714317921882
515,516,6.63103096937436
517,518,3.26428451223008
517,629,14.7198700235722
518,519,4.53634065099484
521,522,1.16763691971415
521,523,1.05010242140238
521,643,1.39999161357273
522,854,2.6051910623405
524,564,0.368915142335169
525,526,6.29235966937533
525,529,6.80497355589158
526,615,3.41383639526899
526,668,3.24044877171083
528,529,4.22410853668007
530,531,5.67013590953971
530,676,14.9673093759036
530,719,2.53439696577295
531,670,8.37197499846728
532,533,1.46968903261058
534,577,7.07257164293271
535,615,1.0577700660973
535,787,4.32564087026114
537,538,5.40379838636825
537,669,8.7264943166719
539,654,0.806745916981445
539,678,2.4291732174877
540,541,3.97873147362942
542,592,4.0161308753889
542,606,0.840127030011575
543,574,1.28800284508778
543,625,10.9920891381181
544,547,4.75375064790099
544,587,8.99506615968539
545,546,4.74535990611445
545,553,9.15819262360093
546,548,9.43600954248454
547,548,8.48234533895518
548,550,4.78520204956844
548,589,7.50271382359088
549,550,8.00136101546464
549,610,2.80813065629151
550,609,8.59527753017799
551,604,19.9689354588822
552,600,3.91661304931475
553,554,2.82762925016069
553,590,16.346179942738
553,755,4.00860975638308
554,561,9.35614415581564
555,556,0.915742803135263
555,647,3.2471091492429
555,734,11.6431352634006
557,763,16.7361346824866
558,559,4.48077888767901
559,560,13.3626038587894
561,562,16.3322822931561
564,565,0.315337636980898
567,568,3.9350277406875
568,571,0.872206987097436
569,570,8.21299981952578
570,571,14.5210552787603
572,626,3.10026070777
573,574,3.99601419370387
573,754,1.22107424468051
575,576,8.82043864282666
575,632,5.42816423251803
576,659,2.92587684286324
577,677,2.6406013601693
578,611,0.428614918182712
580,581,3.45958430845705
580,582,2.63928948402745
584,585,7.52479229782038
584,615,8.2071697146583
586,685,8.77743117795414
587,588,3.75515323005453
588,733,1.37572850152693
589,644,7.17652759139518
590,591,4.78307961956529
592,593,2.71976425992888
594,595,4.12508890974377
594,624,6.06434955232358
594,670,9.36097845191454
595,675,2.3826651463036
596,675,6.58324963828002
596,690,5.34457088391291
597,608,10.1157216652304
598,599,8.89805168055444
599,600,5.33503976704706
601,656,15.4497158759984
602,603,8.11790770520038
602,753,73.0075528832914
603,656,3.93890341510747
607,608,6.26822871606639
612,613,14.8718819445635
616,623,7.94234249331344
617,618,4.91201208579737
618,621,5.98070397552147
619,620,7.89446408246477
620,621,3.42611084102939
622,623,1.01358010237211
622,853,15.829760602498
625,627,2.67704882117481
627,628,4.42475513706181
629,849,11.1584590595158
630,631,2.96481047910565
630,655,7.97681861815507
631,660,5.41284357617817
632,633,4.4125719809842
633,634,18.7636239314641
634,665,2.31053084193993
636,637,0.60470319322888
637,638,2.92797130762114
639,640,0.821909786242549
643,852,12.0149061806396
645,646,1.6049549932732
648,649,1.90881352392463
650,651,3.20163486485882
650,699,7.47233792826772
651,725,1.00690681484633
652,653,3.44567164446687
652,696,0.644507446843153
653,792,14.8193948543959
653,795,17.133542730817
654,689,20.8718156360442
656,657,2.52388676227183
657,658,14.4646633583271
659,660,6.4399949783221
661,663,2.69637102731637
661,667,12.2417556990549
661,684,10.0528743446413
661,732,4.92534525765497
662,663,4.42889612254489
664,665,1.2014837562173
664,666,12.2197743506358
668,674,3.26556279827305
669,685,10.5333439764877
669,686,2.72625920727474
671,672,10.2468359079532
671,686,4.52653970063373
672,673,19.87861697527
676,686,4.50743544122497
678,687,3.18371433986434
680,838,8.36168294473666
681,682,1.85863238154945
683,684,5.24226964965683
683,752,11.1968384840695
692,722,1.71761227789715
693,694,0.486977362072386
693,726,0.99039848980717
694,695,18.7582738915615
695,724,1.54896887613793
696,697,2.53217045434308
698,699,5.22709833550517
698,700,19.6767004130312
700,702,10.0261460985401
701,702,5.45092270054215
701,703,1.50480782491625
703,704,7.22510402387098
704,726,4.05638623507785
705,706,1.04563755527819
705,828,2.67882420570664
706,707,1.15821139252397
707,708,2.10044123375591
707,709,0.944389101368439
707,724,0.564933189783967
708,724,0.532019938143763
708,825,6.41834668198842
709,710,15.0161123923636
710,711,7.22600805747209
712,713,13.5832568589745
713,729,0.869386789754877
714,715,10.4533026617226
714,843,12.915221516342
715,716,2.11276445479864
716,838,7.04015622462994
722,840,2.22565452138697
724,727,1.56918778277165
724,728,2.34879342756267
727,728,4.57523411103423
729,730,0.693104860384842
730,839,11.3462707025809
731,830,1.65134374410237
733,734,11.4494711345274
737,738,3.28999477017306
740,741,0.921198796364653
740,746,0.615207732564808
740,842,1.27676682020535
741,747,2.91998100858252
742,743,0.958844068633559
742,745,1.64920472401736
742,809,3.76323589368508
743,747,1.29971625664325
744,745,0.93970561691443
744,837,4.91375923325842
745,808,4.35271134505338
747,831,2.18545904548576
747,847,10.3365244138312
748,749,6.30014445207767
748,811,0.759281024009306
748,812,3.18549772970611
751,752,2.14600854747812
755,796,2.92982599505114
757,758,0.910477438988877
758,836,1.30174793438422
759,799,47.0845845699767
761,762,14.2376218795431
762,803,18.6785521224608
763,764,14.4390808729213
770,771,2.76877148045058
770,772,1.6157102953064
775,776,1.2223263980206
778,779,17.4256717832896
778,780,0.732385777759638
783,791,9.04172127811035
788,789,0.712046165766682
793,794,12.0936459228315
794,795,4.12397335570697
796,797,3.27256381905605
797,798,15.4861756816536
801,802,15.52515842115
802,803,18.4699626415545
814,815,2.79664343174525
815,816,4.11195884167658
817,818,1.49297514141168
820,821,8.85448167537249
821,827,0.553175115316985
821,835,3.64321735863569
830,844,2.98477774445257
849,850,1.46515595177699
850,851,14.9666063160315
851,852,16.3454370962128
